"","movie","distributor","gross","percent_change","theaters","per_theater","total_gross","days","date"
"677","Iron Man 3","Walt Disney",50762,-11,294,173,406563649,69,2013-07-10
"678","Iron Sky","Entertainment One",1546,NA,3,515,122082,72,2012-10-04
"679","Irrational Man","Sony Pictures Classics",53000,NA,5,10600,53000,1,2015-07-17
"680","Is Genesis History?","Fathom Events",500340,NA,714,701,2570355,13,2017-03-07
"681","Island of Lemurs: Madagascar","Warner Bros.",1988,-22,35,57,10370278,528,2015-09-13
"682","Isle of Dogs","Fox Searchlight",6426,-15,39,165,31892516,105,2018-07-05
"683","Ism","Cinegalaxy",57,-69,9,6,134166,20,2016-11-02
"684","It","Warner Bros.",6382,-2,208,31,327481748,98,2017-12-14
"685","It Comes at Night","A24",364,6,3,121,13878346,77,2017-08-24
"686","It Follows","RADiUS-TWC",224,13,6,37,14674077,105,2015-06-25
"687","J. Edgar","Warner Bros.",396,20,11,36,37306030,107,2012-02-23
"688","Jack and Jill","Sony Pictures",22643,-42,109,208,74158157,108,2012-02-26
"689","Jack Reacher","Paramount Pictures",8949,-2,130,69,80070736,91,2013-03-21
"690","Jack Reacher: Never Go Back","Paramount Pictures",5410,7,113,48,58697076,84,2017-01-12
"691","Jack Ryan: Shadow Recruit","Paramount Pictures",7579,6,107,71,50577412,77,2014-04-03
"692","Jack the Giant Slayer","Warner Bros.",4177,16,58,72,65187603,105,2013-06-13
"693","Jackass Presents: Bad Grandpa","Paramount Pictures",7724,-5,154,50,102003019,91,2014-01-23
"694","Jackie","Fox Searchlight",6848,-27,70,98,13874724,98,2017-03-09
"695","Jafar Panahi’s Taxi","Kino Lorber",4053,NA,2,2027,308015,122,2016-01-31
"696","Jagga Jasoos","UTV Communications",788,-60,31,25,861740,21,2017-08-03
"697","Jake Squared","Freestyle Releasing",226,-21,10,23,2592,7,2014-08-21
"698","Jamel Shabazz: Street Photo…","Artists Public Doma…",360,NA,1,360,17992,202,2014-02-19
"699","Jamel Shabazz: Street Photo…","Artists Public Doma…",360,NA,1,360,17992,207,2014-02-24
"700","James Cameron’s Deepsea C…","DisruptiveLA",45300,NA,304,149,45300,1,2014-08-08
"701","James White","Film Arcade",3012,-27,1,3012,12007,3,2015-11-15
"702","Jane","Abramorama Films",27215,NA,19,1432,1432348,67,2017-12-25
"703","Jane Got a Gun","Weinstein Co.",207,-32,6,35,1513793,28,2016-02-25
"704","Jason Bourne","Universal",8335,12,120,69,162192920,91,2016-10-27
"705","Jayne Mansfield's Car","Anchor Bay Entertai…",160,31,6,27,14836,14,2013-09-26
"706","Jealousy","Distrib Films",2616,NA,6,436,34317,20,2014-09-01
"707","Jeepers Creepers 3","Fathom Events",436384,NA,669,652,2214345,9,2017-10-04
"708","Jeff Who Lives at Home","Paramount Vantage",6089,-2,117,52,4269426,63,2012-05-17
"709","Jem and the Holograms","Universal",35050,45,2417,15,2184640,14,2015-11-05
"710","Jeremiah Tower: The Last Ma…","The Orchard",70,-61,5,14,228153,70,2017-06-29
"711","Jeremy","Sony Pictures",915,44,13,70,647701,28,2016-11-17
"712","Jeremy Scott: The People’…","The Vladar Company",70000,NA,12,5833,70000,1,2015-09-18
"713","Jersey Boys","Warner Bros.",3392,-7,73,46,47047013,98,2014-09-25
"714","Jigsaw","Lionsgate",10132,6,151,67,38052832,56,2017-12-21
"715","Jimi: All is By My Side","XLrator Media",4651,40,31,150,340911,21,2014-10-16
"716","Jimmy's Hall","Sony Pictures Classics",6400,NA,3,2133,6400,1,2015-07-03
"717","Jinn","Freestyle Releasing",11051,-17,201,55,202348,7,2014-04-10
"718","Jobs","Open Road",3395,-12,84,40,16131410,49,2013-10-03
"719","Joe","Roadside Attractions",359,1,10,36,373375,42,2014-05-22
"720","John Carter","Walt Disney",97478,2,1015,96,68401011,35,2012-04-12
"721","John Wick","Lionsgate",1830,27,51,36,43037835,91,2015-01-22
"722","John Wick: Chapter Two","Lionsgate",14913,8,181,82,92029184,77,2017-04-27
"723","Joker","UTV Communications",5,NA,3,2,169181,20,2012-09-19
"724","Jolly LLB 2","FIP",12539,-25,166,76,1554222,14,2017-02-23
"725","Journey 2: The Mysterious I…","Warner Bros.",12986,16,85,153,103860290,140,2012-06-28
"726","Journey to the West: The De…","Sony Pictures",2681,-45,5,536,870451,24,2017-02-26
"727","Joy","20th Century Fox",7900,-5,95,83,56384928,70,2016-03-03
"728","Joyful Noise","Warner Bros.",3306,17,65,51,30932113,70,2012-03-22
"729","Judwaa 2","FIP",3214,-45,106,30,1431255,21,2017-10-19
"730","Juliet, Naked","Roadside Attractions",25425,-17,43,591,448939,14,2018-08-30
"731","Jumanji: Welcome to the Jungle","Sony Pictures",6535,-21,36,182,404508916,160,2018-05-28
"732","Junction 48","The Orchard",3300,NA,2,1650,12795,14,2017-03-16
"733","Jupiter Ascending","Warner Bros.",17489,-36,122,143,47482519,80,2015-04-26
"734","Jurassic Park 3D","Universal",17990,-8,428,42,395708305,7287,2013-05-23
"735","Jurassic World","Universal",4935,2,109,45,652198010,161,2015-11-19
"736","Jurassic World: Fallen Kingdom","Universal",55070,-10,608,91,413285140,70,2018-08-30
"737","Just Before I Go","Anchor Bay/Freestyle",258,-50,2,129,9703,7,2015-04-30
"738","Just Getting Started","Broad Green Pictures",215016,45,1840,117,5856400,12,2017-12-19
"739","Justice League","Warner Bros.",4689,11,62,76,229024295,119,2018-03-15
"740","Justin Bieber’s Believe","Open Road",1003,-78,7,143,6206566,23,2014-01-16
"741","Kaashmora","Cinegalaxy",6829,-49,70,98,327929,6,2016-11-02
"742","Kabali","Cinegalaxy",405000,-52,236,1716,3903095,4,2016-07-24
"743","Kahlil Gibran's The Prophet","GKIDS",532,67,14,38,337381,56,2015-10-01
"744","Kai Po Che","UTV Communications",136,-62,2,68,1122527,66,2013-04-28
"745","Kapoor & Sons","FIP",35500,143,69,514,2481315,22,2016-04-08
"746","Kaptaan","UTV Communications",1412,-9,23,61,203790,14,2016-06-02
"747","Karwaan","Self Distributed",1285,-31,4,321,182009,17,2018-08-19
"748","Katti Batti","UTV Communications",266,75,4,67,364932,17,2015-10-04
"749","Katy Perry: Part of Me","Paramount Pictures",3991,3,66,60,25326071,57,2012-08-30
"750","Keanu","Warner Bros.",6533,3,115,57,20591853,63,2016-06-30
"751","Keep Watching","Sony Pictures",94178,NA,805,117,94178,1,2017-10-31
"752","Keeping Up with the Joneses","20th Century Fox",2966,-11,78,38,14870140,56,2016-12-15
"753","Kevin Hart: Let Me Explain","Lionsgate",3037,-7,32,95,32244051,51,2013-08-22
"754","Kevin Hart: What Now?","Universal",1520,3,62,25,23574605,42,2016-11-24
"755","Khoobsurat","UTV Communications",450396,NA,57,7902,795481,7,2014-09-25
"756","Kick","UTV Communications",7272,-11,16,455,2414858,24,2014-08-17
"757","Kick-Ass 2","Universal",10100,-9,201,50,28795985,42,2013-09-26
"758","Kicks","Focus World",744,-56,15,50,150191,21,2016-09-29
"759","Kidnap","Aviron Pictures",360,14,10,36,30718107,105,2017-11-16
"760","Kids for Cash","SenArt Films",15933,NA,18,885,91512,21,2014-02-27
"761","Kill the Messenger","Focus Features",1546,29,27,57,2450846,63,2014-12-11
"762","Killing Them Softly","Weinstein Co.",2571,2,31,83,14945541,48,2013-01-16
"763","King Arthur: Legend of the …","Warner Bros.",8179,-6,121,68,39175066,70,2017-07-20
"764","Kings","The Orchard",38,-83,5,8,274320,21,2018-05-17
"765","Kingsman: The Golden Circle","20th Century Fox",5085,9,92,55,100199005,91,2017-12-21
"766","Kingsman: The Secret Service","20th Century Fox",6149,1,75,82,128219589,126,2015-06-18
"767","Kirk Cameron's Saving Chris…","Samuel Goldwyn Films",350000,NA,410,854,350000,1,2014-11-14
"768","Knights of Badassdom","Entertainment One",8251,NA,2,4126,113531,31,2014-02-20
"769","Kon-Tiki","Weinstein Co.",1273,-25,9,141,1517410,105,2013-08-08
"770","Kong: Skull Island","Warner Bros.",18365,19,171,107,168052812,98,2017-06-15
"771","Krampus","Universal",4205,3,106,40,42725475,49,2016-01-21
"772","Ktown Cowboys","Freestyle Releasing",77,-51,1,77,18863,14,2016-03-31
"773","Kubo and the Two Strings","Focus Features",1362,67,46,30,48023088,105,2016-12-01
"774","Kung Fu Panda 3","20th Century Fox",2577,14,23,112,143517851,168,2016-07-14
"775","L.A. Slasher","Archstone Entertain…",525,-47,7,75,2421,3,2015-06-28
"776","La Boda de Valentina","Lionsgate",4965,-5,45,110,2783739,35,2018-03-15
"777","La La Land","Lionsgate",10989,-1,148,74,151101803,140,2017-04-27
"778","Labor Day","Paramount Pictures",2679,55,42,64,13371528,49,2014-03-20
"779","Ladrones","Lionsgate",1073,-13,35,31,3063505,42,2015-11-19
"780","Lady Bird","A24",3343,-10,19,176,48958273,154,2018-04-05
"781","Lady Macbeth","Roadside Attractions",124,134,6,21,1129408,84,2017-10-05
"782","Laggies","A24",31800,NA,5,6360,31800,1,2014-10-24
"783","Last Flag Flying","Amazon Studios",1158,38,9,129,965481,49,2017-12-21
"784","Last Ounce of Courage","Rocky Mountain Pict…",74663,NA,1064,70,3044901,14,2012-09-27
"785","Last Rampage","Epic Pictures Group",128,68,1,128,6294,14,2017-10-05
"786","Last Vegas","CBS Films",1723,NA,41,42,63914167,112,2014-02-20
"787","Lawless","Weinstein Co.",7400,-38,96,77,37336049,61,2012-10-28
"788","LBJ","Electric Entertainment",2514,41,6,419,2468683,45,2017-12-17
"789","Le combat dans l'île","The Film Desk",254,NA,1,254,50039,1626,2013-11-23
"790","Le Week-End","Music Box Films",3960,NA,21,189,2190777,74,2014-05-26
"791","League of Gods","Sony Pictures",7558,-36,54,140,143430,7,2016-08-04
"792","Lean on Pete","A24",925,25,16,58,1163056,70,2018-06-14
"793","Leap!","Weinstein Co.",192,-50,29,7,21858070,105,2017-12-07
"794","Leave No Trace","Bleecker Street",6318,22,66,96,5783945,63,2018-08-30
"795","Lee Daniels' The Butler","Weinstein Co.",257,104,11,23,116632095,182,2014-02-13
"796","Left Behind","Freestyle Releasing",4386,-34,67,65,14019924,70,2014-12-11
"797","Legend","Universal",1820,8,13,140,1872994,49,2016-01-07
"798","Legends of Oz: Dorothy’s …","Clarius Entertainment",320,-30,6,53,8462347,84,2014-07-31
"799","Les Miserables","Universal",8695,14,109,80,148809770,101,2013-04-04
"800","Let The Sunshine In","Sundance Selects",149,NA,2,75,866714,91,2018-07-26
"801","Let There Be Light","Atlas Distribution",1575,-48,15,105,7233471,112,2018-02-15
"802","Let’s Be Cops","20th Century Fox",808,-6,23,35,82386141,114,2014-12-04
"803","Letters to Elena","Freestyle Releasing",800,-73,12,67,8511,4,2012-06-11
"804","Life","Sony Pictures",16134,-46,132,122,30001060,45,2017-05-07
"805","Life After Beth","A24",5300,NA,2,2650,5300,1,2014-08-15
"806","Life of Crime","Lionsgate/Roadside …",27122,NA,37,733,131422,4,2014-09-01
"807","Life of Pi","20th Century Fox",543,3,18,30,124987022,247,2013-07-25
"808","Life of the Party","Warner Bros.",4914,-6,72,68,52856061,84,2018-08-02
"809","Life, Animated","The Orchard",516,775,5,103,252030,91,2016-09-29
"810","Lights Out","Warner Bros.",7869,4,188,42,67268835,70,2016-09-29
"811","Like Crazy","Paramount Pictures",2152,1,15,143,3395391,77,2012-01-12
"812","Lincoln","Walt Disney",80821,-5,652,124,180403931,119,2013-03-07
"813","Linsanity","",299,-65,4,75,258427,29,2013-11-01
"814","Lion","Weinstein Co.",6152,-20,65,95,51728731,161,2017-05-04
"815","Little Boy","Open Road",4395,NA,56,78,6485961,56,2015-06-18
"816","Little Fugitive","APD/Cinema Conservancy",351,NA,1,351,29505,22287,2014-10-12
"817","Little White Lies","MPI Media Group",13297,-13,12,1108,93633,11,2012-09-03
"818","Live by Night","Warner Bros.",191,-44,17,11,10378555,75,2017-03-09
"819","Lockout","Open Road",8894,16,191,47,14326865,42,2012-05-24
"820","Logan","20th Century Fox",1652,4,22,75,226258569,112,2017-06-22
"821","Logan Lucky","Bleecker Street",518,-50,23,23,27778642,81,2017-11-06
"822","Lola Versus","Fox Searchlight",28,-82,3,9,252603,35,2012-07-12
"823","London Has Fallen","Focus Features",5894,4,96,61,62524260,91,2016-06-02
"824","Lone Survivor","Universal",6950,11,140,50,125095601,107,2014-04-10
"825","Long Shot: The Kevin Laue S…","Cinipix",898,503,1,898,29863,28,2013-11-21
"826","Long Strange Trip: The Unto…","Abramorama Films",261572,NA,50,5231,261572,1,2017-05-25
"827","Looper","Sony Pictures",11163,66,84,133,66486205,96,2013-01-01
"828","Lost and Found in Armenia","High Top Releasing",433,1,2,217,122305,35,2013-07-11
"829","Lost River","Warner Bros.",616,108,3,205,45431,21,2015-04-30
"830","Louder Than Bombs","The Orchard",500,NA,3,167,163738,55,2016-06-01
"831","Love","Alchemy",6177,-16,2,3089,29301,3,2015-11-01
"832","Love & Friendship","Roadside Attractions",45,-93,5,9,14016568,132,2016-09-21
"833","Love & Mercy","Roadside Attractions",339,-78,14,24,12551031,119,2015-10-01
"834","Love is in the Air","Variance Films",115,-65,3,38,8425,14,2014-02-13
"835","Love the Coopers","CBS Films",4796,9,128,37,26302731,63,2016-01-14
"836","Love, Kennedy","Purdie Distribution",173,-4,2,87,407871,133,2017-10-12
"837","Love, Simon","20th Century Fox",69,-81,11,6,40823927,84,2018-06-07
"838","Loving","Focus Features",5754,35,33,174,7710234,84,2017-01-26
"839","Lowriders","BH Tilt",3860,-11,40,97,6179955,42,2017-06-22
"840","Lu Over The Wall","GKIDS",74,185,2,37,110168,49,2018-06-28
"841","LUCK-KEY","JBG Pictures",1220,114,5,244,466505,33,2016-11-22
"842","Lucy","Universal",6215,-9,113,55,126573960,105,2014-11-06
"843","LUV","Indomina Releasing",165,-10,3,55,156996,28,2013-02-14
"844","M.S. Dhoni: The Untold Story","FIP",3122,-33,70,45,1801550,21,2016-10-20
"845","Macbeth","Weinstein Co.",472,-60,10,47,1110707,84,2016-02-25
"846","Machete Kills","Open Road",12501,-5,212,59,8008161,35,2013-11-14
"847","Mad Max: Fury Road","Warner Bros.",1957,19,50,39,153636354,133,2015-09-24
"848","Madagascar 3: Europe's Most…","Paramount Pictures",9224,78,122,76,216391482,133,2012-10-18
"849","Made in France","Under the Milky Way",16,-67,1,16,6064,13,2016-10-05
"850","Maggie","Roadside Attractions",45000,NA,79,570,45000,1,2015-05-08
"851","Magic Mike","Warner Bros.",3182,12,55,58,113721571,91,2012-09-27
"852","Magic Mike XXL","Warner Bros.",803,23,44,18,66013057,86,2015-09-24
"853","Maidentrip","First Run Features",1283,NA,1,1283,17609,32,2014-01-20
"854","Make Your Move","High Top Releasing",688,-5,40,17,125106,14,2014-05-01
"855","Maleficent","Walt Disney",71362,-17,325,220,236412469,77,2014-08-14
"856","Mama","Universal",9825,7,123,80,71628180,77,2013-04-04
"857","Mamma Mia: Here We Go Again!","Universal",218445,-13,1557,140,116448120,42,2018-08-30
"858","Man of Steel","Warner Bros.",5933,6,91,65,291045518,98,2013-09-19
"859","Man on a Ledge","Lionsgate",5582,14,76,73,18620000,35,2012-03-01
"860","Manchester-by-the Sea","Roadside Attractions",251,NA,2,126,47695371,158,2017-04-24
"861","Mandela: Long Walk to Freedom","Weinstein Co.",1737,36,18,97,8323085,119,2014-03-27
"862","Manuscripts Don’t Burn","Kino Lorber",183,NA,1,183,3926,136,2014-10-26
"863","Maps to the Stars","Focus Features",3888,23,17,229,331540,21,2015-03-19
"864","Margin Call","Roadside Attractions",210,-46,2,105,5353586,115,2012-02-12
"865","Marshall","Open Road",378,30,378,1,10051659,98,2018-01-18
"866","Martha Marcy May Marlene","Fox Searchlight",1073,24,6,179,2981038,108,2012-02-05
"867","Mary and the Witch’s Flower","GKIDS",1408,210,6,235,2418404,77,2018-04-05
"868","Mary Shelley","IFC Films",182,-68,10,18,93042,33,2018-06-26
"869","Más negro que la noche","Lionsgate",1184,-25,22,54,870063,28,2014-10-23
"870","Masterminds","Relativity",6455,-47,60,108,17356894,38,2016-11-06
"871","Max","Warner Bros.",1025,20,32,32,42656255,112,2015-10-15
"872","Max Steel","Open Road",6853,-46,281,24,3818664,21,2016-11-03
"873","Mayweather vs. McGregor","Fathom Events",2620183,NA,485,5402,2620183,1,2017-08-26
"874","Maze Runner: The Death Cure","20th Century Fox",9363,6,103,91,57902320,70,2018-04-05
"875","Maze Runner: The Scorch Trials","20th Century Fox",2065,6,48,43,81670090,112,2016-01-07
"876","McFarland, USA","Walt Disney",34897,1,518,67,42750542,56,2015-04-16
"877","McQueen","Bleecker Street",9238,7,51,181,1141125,42,2018-08-30
"878","Me and Earl and the Dying Girl","Fox Searchlight",8120,-13,73,111,6601163,56,2015-08-06
"879","Me Before You","Warner Bros.",4480,23,51,88,56245075,77,2016-08-18
"880","Mechanic: Resurrection","Lionsgate",4002,12,58,69,21218403,63,2016-10-27
"881","Meet the Blacks","Freestyle Releasing",133,-15,10,13,9097072,82,2016-06-21
"882","Meet the Mormons","Purdie Distribution",2445,-37,25,98,5825757,54,2014-12-02
"883","Meet the Patels","Alchemy",27571,-18,63,438,1442619,52,2015-11-01
"884","Megan Leavey","Bleecker Street",1604,39,62,26,13406304,98,2017-09-14
"885","Men in Black 3","Sony Pictures",35776,-42,173,207,179020854,108,2012-09-09
"886","Men, Women and Children","Paramount Pictures",8489,-13,542,16,705908,30,2014-10-30
"887","Menashe","A24",1183,-29,7,169,1702996,84,2017-10-19
"888","Metallica Through the Never","Picturehouse",57949,-38,289,201,3178850,17,2013-10-13
"889","Metropolitan","Rialto Pictures",795,14,1,795,18252,9149,2015-08-20
"890","Middle School: The Worst Ye…","Lionsgate",6117,14,132,46,20007149,56,2016-12-01
"891","Midget Zombie Takeover","Driving With Our Ey…",178,NA,1,178,10604,225,2013-09-20
"892","Midnight Special","Warner Bros.",1309,NA,24,55,3712282,70,2016-05-26
"893","Midnight Sun","Global Road",1496,-2,60,25,9561064,49,2018-05-10
"894","Mike and Dave Need Wedding …","20th Century Fox",6168,-9,89,69,45889727,63,2016-09-08
"895","Mile 22","STX Entertainment",493734,-28,3520,140,28186334,14,2018-08-30
"896","Miles","Entertainment Studi…",10,-93,2,5,2537,7,2017-06-15
"897","Million Dollar Arm","Walt Disney",103336,1,577,179,33864148,35,2014-06-19
"898","Mind Game (2004)","GKIDS",96,860,1,96,36613,49,2018-04-05
"899","Minions","Universal",4270,2,141,30,336045770,161,2015-12-17
"900","Miracles from Heaven","Sony Pictures",2561,-26,32,80,61705123,128,2016-07-21
"901","Mirror Mirror","Relativity",433,22,45,10,64935167,140,2012-08-16
"902","Misfortune","Gunnison Galaxy",62,-30,1,62,903,28,2016-09-01
"903","Miss Hokusai","GKIDS",1934,43,19,102,222670,28,2016-11-10
"904","Miss Peregrine’s Home for…","20th Century Fox",1108,-9,50,22,87233361,126,2017-02-02
"905","Miss Sloane","EuropaCorp",6969,-19,35,199,3500605,39,2017-01-02
"906","Miss Stevens","The Orchard",16,23,1,16,3887,13,2016-09-28
"907","Miss You Already","Roadside Attractions",2630,11,21,125,1162653,17,2015-11-22
"908","Mission: Impossible—Fallout","Paramount Pictures",706555,-7,3052,232,197346529,35,2018-08-30
"909","Mission: Impossible—Ghost…","Paramount Pictures",9156,15,102,90,209397903,119,2012-04-12
"910","Mission: Impossible—Rogue…","Paramount Pictures",11732,26,151,78,195042377,91,2015-10-29
"911","Mistress America","Fox Searchlight",6155,-14,97,63,2419443,42,2015-09-24
"912","Moana","Walt Disney",1175,15,37,32,248757044,156,2017-04-27
"913","Mohenjo Daro","UTV Communications",136,-11,8,17,1264339,28,2016-09-08
"914","Molly’s Game","STX Entertainment",10134,-11,91,111,28780744,74,2018-03-08
"915","Moms’ Night Out","Sony Pictures",6534,-26,54,121,10429707,66,2014-07-13
"916","Money Monster","Sony Pictures",969,45,14,69,41012075,84,2016-08-04
"917","Moneyball","Sony Pictures",12489,-47,81,154,75605492,129,2012-01-29
"918","Monkey Kingdom","Walt Disney",78285,8,675,116,15624728,35,2015-05-21
"919","Monster Hunt 2","Lionsgate",2815,-36,20,141,706153,21,2018-03-08
"920","Monster Trucks","Paramount Pictures",31724,3,181,175,33370166,63,2017-03-16
"921","Monsters University","Walt Disney",24984,-1,596,42,265092054,84,2013-09-12
"922","Monsters, Inc. 3D","Walt Disney",37069,-3,565,66,287973201,4102,2013-01-24
"923","Moonlight","A24",164,-68,4,41,27854931,196,2017-05-04
"924","Moonrise Kingdom","Focus Features",1335,19,15,89,45512466,161,2012-11-01
"925","More Than the Rainbow","First Run Features",96,NA,1,96,1677,25,2014-05-26
"926","Morgan","20th Century Fox",3965,5,99,40,3881462,21,2016-09-22
"927","Morning","Anchor Bay Entertai…",395,72,4,99,4029,7,2013-10-03
"928","Morris from America","A24",1937,43,9,215,38777,12,2016-08-30
"929","Mortdecai","Lionsgate",2757,6,81,34,7696134,28,2015-02-19
"930","mother!","Paramount Pictures",8488,-17,106,80,17800004,42,2017-10-26
"931","Mother’s Day","Open Road",7240,-1,115,63,32492859,49,2016-06-16
"932","Movie 43","Relativity",3005,4,63,48,8840453,49,2013-03-14
"933","Mr. Church","Cinelou Releasing",63,NA,1,63,685780,46,2016-10-31
"934","Mr. Holmes","Miramax/Roadside At…",582,17,10,58,17737646,112,2015-11-05
"935","Mr. Peabody & Sherman","20th Century Fox",5589,-24,36,155,111453785,161,2014-08-14
"936","Mr. Pip","Freestyle Releasing",431,-49,10,43,1714,3,2014-11-09
"937","Mr. Right","Focus World",2053,-14,35,59,34694,7,2016-04-14
"938","Mubarakan","Sony Pictures",1458,-26,8,182,757057,24,2017-08-20
"939","Much Ado About Nothing","Roadside Attractions",323,-11,6,54,4328850,126,2013-10-10
"940","Mud","Roadside Attractions",199,8,4,50,21590086,140,2013-09-12
"941","Mugamoodi","UTV Communications",553,-55,1,553,101911,24,2012-09-23
"942","Muppets Most Wanted","Walt Disney",106358,-18,269,395,50557326,65,2014-05-24
"943","Murder on the Orient Express","20th Century Fox",3685,14,51,72,102800191,105,2018-02-22
"944","Mustang","Cohen Media Group",3360,NA,29,116,728571,103,2016-03-01
"945","My All-American","Clarius Entertainment",520000,NA,1565,332,520000,1,2015-11-13
"946","My Best Friend’s Wedding","Sony Pictures",4381,-17,37,118,63287,7,2016-08-18
"947","My Big Fat Greek Wedding 2","Universal",27245,-2,365,75,59689605,63,2016-05-26
"948","My Cousin Rachel","Fox Searchlight",1329,-20,16,83,2716368,56,2017-08-03
"949","My Entire High School Sinki…","GKIDS",216,1700,6,36,68883,42,2017-05-25
"950","My Life as a Zucchini","GKIDS",55,-79,6,9,309768,70,2017-05-04
"951","My Little Pony: The Movie","Lionsgate",3798,20,180,21,21885107,63,2017-12-07
"952","My Love, Don't Cross That R…","Film Movement",169,NA,1,169,86446,129,2016-10-23
"953","My Son","FlyRock Media",488,-38,1,488,12891,10,2013-09-29
"954","My Uncle Rafael","Slater Brothers Ent…",1244,-23,1,1244,234830,38,2012-10-28
"955","Naam Hai Akira","FIP",1178,-6,51,23,219401,14,2016-09-15
"956","Napping Princess","GKIDS",357,-63,4,89,48198,28,2017-10-05
"957","Nebraska","Paramount Pictures",9408,5,120,78,17654912,126,2014-03-20
"958","Need for Speed","Walt Disney",78403,39,613,128,42354883,35,2014-04-17
"959","Neerja","Fox International",9886,-13,100,99,1585687,21,2016-03-10
"960","Neighbors","Universal",7470,NA,106,70,150086800,105,2014-08-21
"961","Neighbors 2: Sorority Rising","Universal",11225,-5,127,88,55340730,56,2016-07-14
"962","Neruda","The Orchard",60,-36,2,30,939099,147,2017-05-11
"963","Nerve","Lionsgate",5641,8,126,45,38583626,72,2016-10-06
"964","Never Goin’ Back","A24",144,-59,8,18,61271,25,2018-08-27
"965","New Year’s Eve","Warner Bros.",1578,21,33,48,54544638,77,2012-02-23
"966","Next Year Jerusalem","First Run Features",183,NA,1,183,4543,11,2014-05-26
"967","Night at the Museum: Secret…","20th Century Fox",1119,-11,68,16,113603830,140,2015-05-07
"968","Nightcrawler","Open Road",5992,17,105,57,32381218,98,2015-02-05
"969","Nine Lives","EuropaCorp",2426,20,61,40,19700032,84,2016-10-27
"970","Nitro Circus: The Movie 3D","ARC Entertainment",320000,-52,800,400,985000,2,2012-08-09
"971","No Escape","Weinstein Co.",1189,10,16,74,27288219,91,2015-11-24
"972","No Good Deed","Sony Pictures",16080,-15,296,54,52384238,42,2014-10-23
"973","No Greater Love","Atlas Distribution",43,-63,1,43,29639,14,2017-11-23
"974","No Manches Frida","Lionsgate",3724,10,53,70,11528613,63,2016-11-03
"975","No One Lives","Anchor Bay Entertai…",504,-32,12,42,75121,14,2013-05-23
"976","Noah","Paramount Pictures",10207,15,103,99,101200044,84,2014-06-19
"977","Nocturnal Animals","Focus Features",6932,10,43,161,10663357,70,2017-01-26
"978","Non-Stop","Universal",14610,1,153,95,91742160,91,2014-05-29
"979","Norm of the North","Lionsgate",10427,-15,134,78,17062499,63,2016-03-17
"980","Northern Lights","Artists Public Doma…",80,NA,1,80,3695,7,2013-09-26
"981","Northern Soul","Freestyle Releasing",634,16,10,63,8886,7,2015-10-08
"982","Nosotros Los Nobles","Lionsgate",19700,NA,41,480,19700,1,2013-11-01
"983","Nostalgia","Bleecker Street",11387,458,140,81,55625,15,2018-03-02
"984","Not Fade Away","Paramount Vantage",1415,39,56,25,610792,35,2013-01-24
"985","Nothing But a Man","APD/Cinema Conservancy",72,NA,1,72,13910,467,2014-02-18
"986","Nothing Left to Fear","Anchor Bay Entertai…",1976,-8,5,395,7886,3,2013-10-06
"987","Now You See Me","Lionsgate",6332,NA,133,48,117723989,119,2013-09-26
"988","Now You See Me 2","Lionsgate",10590,-1,126,84,65075540,77,2016-08-25
"989","Nymphomaniac: Volume I","Magnolia Pictures",1960,NA,5,392,773834,67,2014-05-26
"990","Nymphomaniac: Volume II","Magnolia Pictures",254,NA,6,42,318771,53,2014-05-26
"991","Oasis: Supersonic","A24",640,63,2,320,242867,16,2016-11-10
"992","Oblivion","Universal",22145,9,201,110,89107235,70,2013-06-27
"993","Ocean Waves","GKIDS",364,-21,10,36,87737,65,2017-03-02
"994","Ocean’s 8","Warner Bros.",13603,-4,185,74,139068979,84,2018-08-30
"995","October Baby","Five & Two Pictures",115000,15,398,289,2322751,147,2012-03-29
"996","Oculus","Relativity",2202,55,17,130,27695246,77,2014-06-26
"997","Of Mind and Music","Monterey Media",107,NA,1,107,1039,4,2016-02-15
"998","Office Christmas Party","Paramount Pictures",9051,10,139,65,54767494,49,2017-01-26
"999","Officer Down","Anchor Bay Entertai…",88,7,1,88,1462,7,2013-01-24
"1000","Ok Jaanu","FIP",830,-29,50,17,355922,14,2017-01-26
"1001","Old Fashioned","Freestyle Releasing",4190,32,55,76,1900793,35,2015-03-12
"1002","Oldboy","FilmDistrict",1115,-45,21,53,2193658,37,2014-01-02
"1003","Olympus Has Fallen","FilmDistrict",8035,3,110,73,98927592,112,2013-07-11
"1004","On Any Sunday: The Next Cha…","Hannover House",104,-63,2,52,509916,21,2014-11-27
"1005","On Chesil Beach","Bleecker Street",1144,4,27,42,745972,56,2018-07-12
"1006","On the Beach at Night Alone","Cinema Guild",811,59,2,406,26532,17,2017-12-03
"1007","On the Other Side of the Tr…","Weinstein Co.",914,-17,50,18,8689,6,2014-04-09
"1008","Once I Was a Beehive","Purdie Distribution",109,148,5,22,731549,109,2015-11-30
"1009","One Chance","Weinstein Co.",154,-59,5,31,90592,35,2014-11-13
"1010","One Direction: This is Us","Sony Pictures",10684,-26,60,178,28873374,38,2013-10-06
"1011","One for the Money","Lionsgate",2747,41,49,56,26414527,77,2012-04-12
"1012","One Piece Film: Gold","FUNimation",25161,-85,110,229,190859,2,2017-01-11
"1013","One Small Hitch","Freestyle Releasing",696,-11,10,70,7965,7,2015-02-12
