"","movie","distributor","gross","percent_change","theaters","per_theater","total_gross","days","date"
"200","Begin Again","Weinstein Co.",5414,-29,111,49,16110985,84,2014-09-18
"201","Being Flynn","Focus Features",3449,2,33,105,540152,42,2012-04-12
"202","Beirut","Bleecker Street",1368,-21,20,68,5019226,65,2018-06-14
"203","Believe","Smith Global Media",106,-31,4,27,890303,35,2017-01-05
"204","Belle","Fox Searchlight",9676,-2,58,167,10614444,91,2014-07-31
"205","Ben-Hur","Paramount Pictures",7543,32,124,61,26410477,49,2016-10-06
"206","Bernie","Alchemy",75000,NA,194,387,2296960,34,2012-05-30
"207","Beyond the Brick: A LEGO Br…","RADiUS-TWC",1362,-5,10,136,88368,17,2015-08-16
"208","Beyond the Lights","Relativity",209,6,29,7,14618727,84,2015-02-05
"209","Beyond the Mask","Freestyle Releasing",118,392,3,39,1236094,502,2015-08-20
"210","Beyond The Reach","Roadside Attractions",8245,-18,28,294,30287,3,2015-04-19
"211","Bharat Ane Nenu","Great India Films",395686,-48,305,1297,2663090,3,2018-04-22
"212","Big Eyes","Weinstein Co.",406,26,7,58,14482031,92,2015-03-26
"213","Big Game","EuropaCorp",1857,3,11,169,24752,7,2015-07-02
"214","Big Hero 6","Walt Disney",31014,-13,451,69,217603425,84,2015-01-29
"215","Big Miracle","Universal",12745,25,170,75,20157300,63,2012-04-05
"216","Big Sonia","Argot Pictures",527,-40,1,527,160308,80,2018-02-04
"217","Big Stone Gap","Picturehouse",117,-75,3,39,1009984,77,2015-12-24
"218","Big Sur","Ketchup Entertainment",4734,NA,13,364,4734,1,2013-11-01
"219","Bilal: A New Breed of Hero","Vertical Entertainment",80,-4,6,13,490973,28,2018-03-01
"220","Billy Lynn’s Long Halftim…","Sony Pictures",175,-33,16,11,1738477,35,2016-12-15
"221","Birdboy: The Forgotten Chil…","GKIDS",246,208,2,123,38785,70,2018-02-22
"222","Birdman or (The Unexpected …","Fox Searchlight",2824,1,39,72,42324225,175,2015-04-09
"223","Birth of the Dragon","BH Tilt",1690,NA,47,36,6901965,35,2017-09-28
"224","Bitter Harvest","Roadside Attractions",89,35,2,45,557241,42,2017-04-06
"225","Black Mass","Warner Bros.",2545,-13,84,30,62575678,77,2015-12-03
"226","Black Nativity","20th Century Fox",413,35,15,28,7013678,44,2014-01-09
"227","Black or White","Relativity",586,-2,16,37,21571189,105,2015-05-14
"228","Black Panther","Walt Disney",12029,-17,25,481,700059566,175,2018-08-09
"229","Black Sea","Focus Features",366,-31,10,37,1171559,35,2015-02-26
"230","Blackhat","Universal",13065,1,236,55,7889395,21,2015-02-05
"231","Blackhats","Reel One Entertainm…",285,71,1,285,3442,7,2015-10-29
"232","BlacKkKlansman","Focus Features",623535,18,1914,326,34192825,21,2018-08-30
"233","Blackway","Electric Entertainment",2546,-17,11,231,27079,7,2016-06-16
"234","Blade Runner 2049","Warner Bros.",3198,42,72,44,92054159,119,2018-02-01
"235","Blair Witch","Lionsgate",8541,31,166,51,20777061,42,2016-10-27
"236","Blaze","IFC Films",2136,-34,7,305,112065,14,2018-08-30
"237","Bleed for This","Open Road",4929,-39,210,23,5083906,28,2016-12-15
"238","Blended","Warner Bros.",3146,-17,66,48,46290741,97,2014-08-27
"239","Blindspotting","Lionsgate",6811,-21,38,179,4177608,42,2018-08-30
"240","Blockers","Universal",11025,-13,126,88,59839515,70,2018-06-14
"241","Blood Feast","Hannover House",139,-5,2,70,8708,315,2018-05-03
"242","Blood Ties","Roadside Attractions",245,-41,5,49,42472,14,2014-04-03
"243","Blue Jasmine","Sony Pictures Classics",175000,NA,6,29167,175000,1,2013-07-26
"244","Blue Jay","The Orchard",491,-24,1,491,7351,7,2016-10-13
"245","Blue Like Jazz","Roadside Attractions",104,NA,1,104,595018,55,2012-06-06
