"","Var.1","Release.Date","Movie","Production.Budget","Domestic.Gross","Worldwide.Gross"
"1305",53,"11/1/2002","The Santa Clause 2","$65,000,000","$139,225,854","$172,825,854"
"1307",54,"6/1/1990","Total Recall","$65,000,000","$119,394,839","$261,400,000"
"1309",55,"12/18/1998","You've Got Mail","$65,000,000","$115,821,495","$250,800,000"
"1311",56,"12/25/2014","Unbroken","$65,000,000","$115,637,895","$163,527,824"
"1313",57,"6/5/2015","Spy!","$65,000,000","$110,825,712","$233,121,406"
"1315",58,"11/5/2010","Due Date","$65,000,000","$100,539,043","$211,739,043"
"1317",59,"7/25/2008","Step Brothers","$65,000,000","$100,468,793","$128,468,793"
"1319",60,"12/15/1995","Jumanji","$65,000,000","$100,458,310","$262,758,310"
"1321",61,"7/17/1998","The Mask of Zorro","$65,000,000","$93,828,745","$233,700,000"
"1323",62,"8/4/2000","Space Cowboys","$65,000,000","$90,454,043","$128,874,043"
"1325",63,"12/19/2014","Annie","$65,000,000","$85,911,262","$139,840,525"
"1327",64,"5/28/1993","Cliffhanger","$65,000,000","$84,049,211","$255,000,000"
"1329",65,"8/12/2016","Pete’s Dragon","$65,000,000","$76,233,151","$137,768,975"
"1331",66,"2/9/1996","Broken Arrow","$65,000,000","$70,645,997","$148,345,997"
"1333",67,"8/9/2006","World Trade Center","$65,000,000","$70,278,893","$163,295,654"
"1335",68,"7/7/2000","The Kid","$65,000,000","$69,688,384","$69,688,384"
"1337",69,"12/19/2003","Mona Lisa Smile","$65,000,000","$63,803,100","$141,205,169"
"1339",70,"5/16/2012","The Dictator","$65,000,000","$59,650,222","$180,148,897"
"1341",71,"7/16/1999","Eyes Wide Shut","$65,000,000","$55,691,208","$104,267,443"
"1343",72,"2/17/2012","This Means War","$65,000,000","$54,760,791","$156,974,557"
"1345",73,"2/27/2015","Focus","$65,000,000","$53,862,963","$159,062,963"
"1347",74,"12/8/2004","Blade: Trinity","$65,000,000","$52,397,389","$131,353,165"
"1349",75,"11/21/2012","Red Dawn","$65,000,000","$44,806,783","$48,164,150"
"1351",76,"12/22/2006","We Are Marshall","$65,000,000","$43,545,364","$43,545,364"
"1353",77,"9/18/2015","Everest","$65,000,000","$43,482,270","$221,835,496"
"1355",78,"9/14/2012","Resident Evil: Retribution","$65,000,000","$42,345,531","$238,940,997"
"1357",79,"3/20/1998","Primary Colors","$65,000,000","$39,017,984","$39,017,984"
"1359",80,"10/15/1999","Fight Club","$65,000,000","$37,030,102","$100,851,705"
"1361",81,"8/22/2008","Death Race","$65,000,000","$36,316,032","$72,516,819"
"1363",82,"10/11/1996","The Long Kiss Goodnight","$65,000,000","$33,447,612","$33,447,612"
"1365",83,"12/8/2000","Proof of Life","$65,000,000","$32,598,931","$62,761,005"
"1367",84,"11/11/2005","Zathura","$65,000,000","$28,045,540","$58,545,540"
"1369",85,"11/26/2003","The Missing","$65,000,000","$26,900,336","$38,253,433"
"1371",86,"1/14/2005","Elektra","$65,000,000","$24,409,722","$56,824,633"
"1373",87,"10/23/2009","Astro Boy","$65,000,000","$19,551,067","$41,636,243"
"1375",88,"1/24/2014","I, Frankenstein","$65,000,000","$19,075,290","$74,575,290"
"1377",89,"5/24/1991","Hudson Hawk","$65,000,000","$17,218,916","$17,218,916"
"1379",90,"8/22/2014","Sin City: A Dame to Kill For","$65,000,000","$13,757,804","$40,650,842"
"1381",91,"12/25/2016","Live by Night","$65,000,000","$10,378,555","$21,778,555"
"1383",92,"10/27/2000","Lucky Numbers","$65,000,000","$10,014,234","$10,014,234"
"1385",93,"9/23/2005","Oliver Twist","$65,000,000","$2,070,920","$26,670,920"
"1387",94,"9/4/2015","Tian jiang xiong shi","$65,000,000","$74,070","$122,519,874"
"1389",95,"10/26/2018","Air Strike","$65,000,000","$0","$0"
"1391",96,"7/14/2006","Little Man","$64,000,000","$58,636,047","$101,636,047"
"1393",97,"10/8/1999","Random Hearts","$64,000,000","$31,054,924","$63,200,000"
"1395",98,"12/27/2006","Perfume: The Story of a Murderer","$63,700,000","$2,223,293","$133,603,463"
"1397",99,"6/11/1993","Jurassic Park","$63,000,000","$395,708,305","$1,038,812,584"
"1399",100,"7/25/2002","Austin Powers in Goldmember","$63,000,000","$213,117,789","$296,338,663"
"1401",1,"11/6/1998","The Siege","$70,000,000","$40,934,175","$116,625,798"
"1403",2,"8/10/2007","Stardust","$70,000,000","$38,634,938","$137,022,245"
"1405",3,"6/15/2012","Rock of Ages","$70,000,000","$38,518,613","$61,031,932"
"1407",4,"10/8/1997","Seven Years in Tibet","$70,000,000","$37,945,884","$131,445,884"
"1409",5,"9/17/2004","Sky Captain and the World of Tomorrow","$70,000,000","$37,760,080","$49,730,854"
"1411",6,"9/14/2007","The Brave One","$70,000,000","$36,793,804","$69,792,704"
"1413",7,"11/1/2002","I Spy","$70,000,000","$33,561,137","$60,279,822"
"1415",8,"6/7/2002","Bad Company","$70,000,000","$30,157,016","$69,157,016"
"1417",9,"10/21/2005","Doom","$70,000,000","$28,212,337","$54,612,337"
"1419",10,"1/29/2016","The Finest Hours","$70,000,000","$27,569,558","$49,252,761"
"1421",11,"10/18/2013","Escape Plan","$70,000,000","$25,135,965","$103,735,965"
"1423",12,"9/23/2011","Killer Elite","$70,000,000","$25,124,986","$65,409,046"
"1425",13,"1/16/1998","Hard Rain","$70,000,000","$19,870,567","$19,870,567"
"1427",14,"2/15/2002","Hart's War","$70,000,000","$19,076,815","$33,076,815"
"1429",15,"2/8/2002","Rollerball","$70,000,000","$18,990,542","$25,852,508"
"1431",16,"1/10/2014","The Legend of Hercules","$70,000,000","$18,848,538","$58,953,319"
"1433",17,"4/27/2007","Next","$70,000,000","$18,211,013","$73,591,500"
"1435",18,"9/20/2002","Ballistic: Ecks vs. Sever","$70,000,000","$14,294,842","$14,294,842"
"1437",19,"8/10/2001","Osmosis Jones","$70,000,000","$13,596,911","$13,596,911"
"1439",20,"5/9/2014","Legends of Oz: Dorothy’s Return","$70,000,000","$8,462,347","$20,107,933"
"1441",21,"1/16/2015","Blackhat","$70,000,000","$8,005,980","$19,665,004"
"1443",22,"3/31/2006","Basic Instinct 2","$70,000,000","$5,946,136","$35,417,162"
"1445",23,"5/28/2010","Agora","$70,000,000","$619,423","$38,992,292"
"1447",24,"7/9/2010","Despicable Me","$69,000,000","$251,513,985","$543,464,573"
"1449",25,"7/30/2010","Dinner for Schmucks","$69,000,000","$73,026,337","$86,796,502"
"1451",26,"3/2/2018","Red Sparrow","$69,000,000","$46,874,505","$145,951,861"
"1453",27,"6/30/2010","The Twilight Saga: Eclipse","$68,000,000","$300,531,751","$706,102,828"
"1455",28,"5/31/2002","The Sum of All Fears","$68,000,000","$118,471,320","$193,500,000"
"1457",29,"6/26/2015","Ted 2","$68,000,000","$81,476,385","$217,214,143"
"1459",30,"7/13/2001","The Score","$68,000,000","$71,069,884","$113,542,091"
"1461",31,"2/25/2011","Hall Pass","$68,000,000","$45,060,734","$87,173,475"
"1463",32,"11/22/1995","Money Train","$68,000,000","$35,324,232","$77,224,232"
"1465",33,"3/21/2003","Dreamcatcher","$68,000,000","$33,685,268","$75,685,268"
"1467",34,"8/6/1999","Mystery Men","$68,000,000","$29,762,011","$33,462,011"
"1469",35,"11/5/1999","The Insider","$68,000,000","$28,965,197","$60,265,197"
"1471",36,"12/22/2017","Downsizing","$68,000,000","$24,449,754","$48,681,134"
"1473",37,"3/2/2012","Doctor Seuss' The Lorax","$67,500,000","$214,030,500","$350,976,753"
"1475",38,"10/10/2008","Body of Lies","$67,500,000","$39,394,666","$118,556,530"
"1477",39,"6/22/2012","Abraham Lincoln: Vampire Hunter","$67,500,000","$37,519,139","$137,489,730"
"1479",40,"9/20/1996","Last Man Standing","$67,000,000","$18,115,927","$18,115,927"
"1481",41,"8/17/2007","The Last Legion","$67,000,000","$5,932,060","$25,357,771"
"1483",42,"4/30/1999","Entrapment","$66,000,000","$87,707,396","$211,700,000"
"1485",43,"6/19/1998","The X Files: Fight the Future","$66,000,000","$83,898,313","$189,176,423"
"1487",44,"3/14/2014","Need for Speed","$66,000,000","$43,568,507","$194,169,619"
"1489",45,"7/24/1998","Saving Private Ryan","$65,000,000","$216,335,085","$485,035,085"
"1491",46,"12/15/2000","What Women Want","$65,000,000","$182,805,123","$374,105,123"
"1493",47,"11/9/2012","Lincoln","$65,000,000","$182,207,973","$273,346,281"
"1495",48,"3/15/2002","Ice Age","$65,000,000","$176,387,405","$386,116,343"
"1497",49,"6/30/1995","Apollo 13","$65,000,000","$173,772,767","$335,802,271"
"1499",50,"3/31/1999","The Matrix","$65,000,000","$171,479,930","$463,517,383"
"1501",51,"7/13/2018","Hotel Transylvania 3: Summer Vacation","$65,000,000","$167,321,691","$522,246,749"
"1503",52,"12/25/2012","Les Miserables","$65,000,000","$148,809,770","$442,169,052"
"1505",53,"11/1/2002","The Santa Clause 2","$65,000,000","$139,225,854","$172,825,854"
"1507",54,"6/1/1990","Total Recall","$65,000,000","$119,394,839","$261,400,000"
"1509",55,"12/18/1998","You've Got Mail","$65,000,000","$115,821,495","$250,800,000"
"1511",56,"12/25/2014","Unbroken","$65,000,000","$115,637,895","$163,527,824"
"1513",57,"6/5/2015","Spy!","$65,000,000","$110,825,712","$233,121,406"
"1515",58,"11/5/2010","Due Date","$65,000,000","$100,539,043","$211,739,043"
"1517",59,"7/25/2008","Step Brothers","$65,000,000","$100,468,793","$128,468,793"
"1519",60,"12/15/1995","Jumanji","$65,000,000","$100,458,310","$262,758,310"
"1521",61,"7/17/1998","The Mask of Zorro","$65,000,000","$93,828,745","$233,700,000"
"1523",62,"8/4/2000","Space Cowboys","$65,000,000","$90,454,043","$128,874,043"
"1525",63,"12/19/2014","Annie","$65,000,000","$85,911,262","$139,840,525"
"1527",64,"5/28/1993","Cliffhanger","$65,000,000","$84,049,211","$255,000,000"
"1529",65,"8/12/2016","Pete’s Dragon","$65,000,000","$76,233,151","$137,768,975"
"1531",66,"2/9/1996","Broken Arrow","$65,000,000","$70,645,997","$148,345,997"
"1533",67,"8/9/2006","World Trade Center","$65,000,000","$70,278,893","$163,295,654"
"1535",68,"7/7/2000","The Kid","$65,000,000","$69,688,384","$69,688,384"
"1537",69,"12/19/2003","Mona Lisa Smile","$65,000,000","$63,803,100","$141,205,169"
"1539",70,"5/16/2012","The Dictator","$65,000,000","$59,650,222","$180,148,897"
"1541",71,"7/16/1999","Eyes Wide Shut","$65,000,000","$55,691,208","$104,267,443"
"1543",72,"2/17/2012","This Means War","$65,000,000","$54,760,791","$156,974,557"
"1545",73,"2/27/2015","Focus","$65,000,000","$53,862,963","$159,062,963"
"1547",74,"12/8/2004","Blade: Trinity","$65,000,000","$52,397,389","$131,353,165"
"1549",75,"11/21/2012","Red Dawn","$65,000,000","$44,806,783","$48,164,150"
"1551",76,"12/22/2006","We Are Marshall","$65,000,000","$43,545,364","$43,545,364"
"1553",77,"9/18/2015","Everest","$65,000,000","$43,482,270","$221,835,496"
"1555",78,"9/14/2012","Resident Evil: Retribution","$65,000,000","$42,345,531","$238,940,997"
"1557",79,"3/20/1998","Primary Colors","$65,000,000","$39,017,984","$39,017,984"
"1559",80,"10/15/1999","Fight Club","$65,000,000","$37,030,102","$100,851,705"
"1561",81,"8/22/2008","Death Race","$65,000,000","$36,316,032","$72,516,819"
"1563",82,"10/11/1996","The Long Kiss Goodnight","$65,000,000","$33,447,612","$33,447,612"
"1565",83,"12/8/2000","Proof of Life","$65,000,000","$32,598,931","$62,761,005"
"1567",84,"11/11/2005","Zathura","$65,000,000","$28,045,540","$58,545,540"
"1569",85,"11/26/2003","The Missing","$65,000,000","$26,900,336","$38,253,433"
"1571",86,"1/14/2005","Elektra","$65,000,000","$24,409,722","$56,824,633"
"1573",87,"10/23/2009","Astro Boy","$65,000,000","$19,551,067","$41,636,243"
"1575",88,"1/24/2014","I, Frankenstein","$65,000,000","$19,075,290","$74,575,290"
"1577",89,"5/24/1991","Hudson Hawk","$65,000,000","$17,218,916","$17,218,916"
"1579",90,"8/22/2014","Sin City: A Dame to Kill For","$65,000,000","$13,757,804","$40,650,842"
"1581",91,"12/25/2016","Live by Night","$65,000,000","$10,378,555","$21,778,555"
"1583",92,"10/27/2000","Lucky Numbers","$65,000,000","$10,014,234","$10,014,234"
"1585",93,"9/23/2005","Oliver Twist","$65,000,000","$2,070,920","$26,670,920"
"1587",94,"9/4/2015","Tian jiang xiong shi","$65,000,000","$74,070","$122,519,874"
"1589",95,"10/26/2018","Air Strike","$65,000,000","$0","$0"
"1591",96,"7/14/2006","Little Man","$64,000,000","$58,636,047","$101,636,047"
"1593",97,"10/8/1999","Random Hearts","$64,000,000","$31,054,924","$63,200,000"
"1595",98,"12/27/2006","Perfume: The Story of a Murderer","$63,700,000","$2,223,293","$133,603,463"
"1597",99,"6/11/1993","Jurassic Park","$63,000,000","$395,708,305","$1,038,812,584"
"1599",100,"7/25/2002","Austin Powers in Goldmember","$63,000,000","$213,117,789","$296,338,663"
"1601",1,"11/6/1998","The Siege","$70,000,000","$40,934,175","$116,625,798"
"1603",2,"8/10/2007","Stardust","$70,000,000","$38,634,938","$137,022,245"
"1605",3,"6/15/2012","Rock of Ages","$70,000,000","$38,518,613","$61,031,932"
"1607",4,"10/8/1997","Seven Years in Tibet","$70,000,000","$37,945,884","$131,445,884"
"1609",5,"9/17/2004","Sky Captain and the World of Tomorrow","$70,000,000","$37,760,080","$49,730,854"
"1611",6,"9/14/2007","The Brave One","$70,000,000","$36,793,804","$69,792,704"
"1613",7,"11/1/2002","I Spy","$70,000,000","$33,561,137","$60,279,822"
"1615",8,"6/7/2002","Bad Company","$70,000,000","$30,157,016","$69,157,016"
"1617",9,"10/21/2005","Doom","$70,000,000","$28,212,337","$54,612,337"
"1619",10,"1/29/2016","The Finest Hours","$70,000,000","$27,569,558","$49,252,761"
"1621",11,"10/18/2013","Escape Plan","$70,000,000","$25,135,965","$103,735,965"
"1623",12,"9/23/2011","Killer Elite","$70,000,000","$25,124,986","$65,409,046"
"1625",13,"1/16/1998","Hard Rain","$70,000,000","$19,870,567","$19,870,567"
"1627",14,"2/15/2002","Hart's War","$70,000,000","$19,076,815","$33,076,815"
"1629",15,"2/8/2002","Rollerball","$70,000,000","$18,990,542","$25,852,508"
"1631",16,"1/10/2014","The Legend of Hercules","$70,000,000","$18,848,538","$58,953,319"
"1633",17,"4/27/2007","Next","$70,000,000","$18,211,013","$73,591,500"
"1635",18,"9/20/2002","Ballistic: Ecks vs. Sever","$70,000,000","$14,294,842","$14,294,842"
"1637",19,"8/10/2001","Osmosis Jones","$70,000,000","$13,596,911","$13,596,911"
"1639",20,"5/9/2014","Legends of Oz: Dorothy’s Return","$70,000,000","$8,462,347","$20,107,933"
"1641",21,"1/16/2015","Blackhat","$70,000,000","$8,005,980","$19,665,004"
"1643",22,"3/31/2006","Basic Instinct 2","$70,000,000","$5,946,136","$35,417,162"
"1645",23,"5/28/2010","Agora","$70,000,000","$619,423","$38,992,292"
"1647",24,"7/9/2010","Despicable Me","$69,000,000","$251,513,985","$543,464,573"
"1649",25,"7/30/2010","Dinner for Schmucks","$69,000,000","$73,026,337","$86,796,502"
"1651",26,"3/2/2018","Red Sparrow","$69,000,000","$46,874,505","$145,951,861"
"1653",27,"6/30/2010","The Twilight Saga: Eclipse","$68,000,000","$300,531,751","$706,102,828"
"1655",28,"5/31/2002","The Sum of All Fears","$68,000,000","$118,471,320","$193,500,000"
"1657",29,"6/26/2015","Ted 2","$68,000,000","$81,476,385","$217,214,143"
"1659",30,"7/13/2001","The Score","$68,000,000","$71,069,884","$113,542,091"
"1661",31,"2/25/2011","Hall Pass","$68,000,000","$45,060,734","$87,173,475"
"1663",32,"11/22/1995","Money Train","$68,000,000","$35,324,232","$77,224,232"
"1665",33,"3/21/2003","Dreamcatcher","$68,000,000","$33,685,268","$75,685,268"
"1667",34,"8/6/1999","Mystery Men","$68,000,000","$29,762,011","$33,462,011"
"1669",35,"11/5/1999","The Insider","$68,000,000","$28,965,197","$60,265,197"
"1671",36,"12/22/2017","Downsizing","$68,000,000","$24,449,754","$48,681,134"
"1673",37,"3/2/2012","Doctor Seuss' The Lorax","$67,500,000","$214,030,500","$350,976,753"
"1675",38,"10/10/2008","Body of Lies","$67,500,000","$39,394,666","$118,556,530"
"1677",39,"6/22/2012","Abraham Lincoln: Vampire Hunter","$67,500,000","$37,519,139","$137,489,730"
"1679",40,"9/20/1996","Last Man Standing","$67,000,000","$18,115,927","$18,115,927"
"1681",41,"8/17/2007","The Last Legion","$67,000,000","$5,932,060","$25,357,771"
"1683",42,"4/30/1999","Entrapment","$66,000,000","$87,707,396","$211,700,000"
"1685",43,"6/19/1998","The X Files: Fight the Future","$66,000,000","$83,898,313","$189,176,423"
"1687",44,"3/14/2014","Need for Speed","$66,000,000","$43,568,507","$194,169,619"
"1689",45,"7/24/1998","Saving Private Ryan","$65,000,000","$216,335,085","$485,035,085"
"1691",46,"12/15/2000","What Women Want","$65,000,000","$182,805,123","$374,105,123"
"1693",47,"11/9/2012","Lincoln","$65,000,000","$182,207,973","$273,346,281"
"1695",48,"3/15/2002","Ice Age","$65,000,000","$176,387,405","$386,116,343"
"1697",49,"6/30/1995","Apollo 13","$65,000,000","$173,772,767","$335,802,271"
"1699",50,"3/31/1999","The Matrix","$65,000,000","$171,479,930","$463,517,383"
"1701",51,"7/13/2018","Hotel Transylvania 3: Summer Vacation","$65,000,000","$167,321,691","$522,246,749"
"1703",52,"12/25/2012","Les Miserables","$65,000,000","$148,809,770","$442,169,052"
"1705",53,"11/1/2002","The Santa Clause 2","$65,000,000","$139,225,854","$172,825,854"
"1707",54,"6/1/1990","Total Recall","$65,000,000","$119,394,839","$261,400,000"
"1709",55,"12/18/1998","You've Got Mail","$65,000,000","$115,821,495","$250,800,000"
"1711",56,"12/25/2014","Unbroken","$65,000,000","$115,637,895","$163,527,824"
"1713",57,"6/5/2015","Spy!","$65,000,000","$110,825,712","$233,121,406"
"1715",58,"11/5/2010","Due Date","$65,000,000","$100,539,043","$211,739,043"
"1717",59,"7/25/2008","Step Brothers","$65,000,000","$100,468,793","$128,468,793"
"1719",60,"12/15/1995","Jumanji","$65,000,000","$100,458,310","$262,758,310"
"1721",61,"7/17/1998","The Mask of Zorro","$65,000,000","$93,828,745","$233,700,000"
"1723",62,"8/4/2000","Space Cowboys","$65,000,000","$90,454,043","$128,874,043"
"1725",63,"12/19/2014","Annie","$65,000,000","$85,911,262","$139,840,525"
"1727",64,"5/28/1993","Cliffhanger","$65,000,000","$84,049,211","$255,000,000"
"1729",65,"8/12/2016","Pete’s Dragon","$65,000,000","$76,233,151","$137,768,975"
"1731",66,"2/9/1996","Broken Arrow","$65,000,000","$70,645,997","$148,345,997"
"1733",67,"8/9/2006","World Trade Center","$65,000,000","$70,278,893","$163,295,654"
"1735",68,"7/7/2000","The Kid","$65,000,000","$69,688,384","$69,688,384"
"1737",69,"12/19/2003","Mona Lisa Smile","$65,000,000","$63,803,100","$141,205,169"
"1739",70,"5/16/2012","The Dictator","$65,000,000","$59,650,222","$180,148,897"
"1741",71,"7/16/1999","Eyes Wide Shut","$65,000,000","$55,691,208","$104,267,443"
"1743",72,"2/17/2012","This Means War","$65,000,000","$54,760,791","$156,974,557"
"1745",73,"2/27/2015","Focus","$65,000,000","$53,862,963","$159,062,963"
"1747",74,"12/8/2004","Blade: Trinity","$65,000,000","$52,397,389","$131,353,165"
"1749",75,"11/21/2012","Red Dawn","$65,000,000","$44,806,783","$48,164,150"
"1751",76,"12/22/2006","We Are Marshall","$65,000,000","$43,545,364","$43,545,364"
"1753",77,"9/18/2015","Everest","$65,000,000","$43,482,270","$221,835,496"
"1755",78,"9/14/2012","Resident Evil: Retribution","$65,000,000","$42,345,531","$238,940,997"
"1757",79,"3/20/1998","Primary Colors","$65,000,000","$39,017,984","$39,017,984"
"1759",80,"10/15/1999","Fight Club","$65,000,000","$37,030,102","$100,851,705"
"1761",81,"8/22/2008","Death Race","$65,000,000","$36,316,032","$72,516,819"
"1763",82,"10/11/1996","The Long Kiss Goodnight","$65,000,000","$33,447,612","$33,447,612"
"1765",83,"12/8/2000","Proof of Life","$65,000,000","$32,598,931","$62,761,005"
"1767",84,"11/11/2005","Zathura","$65,000,000","$28,045,540","$58,545,540"
"1769",85,"11/26/2003","The Missing","$65,000,000","$26,900,336","$38,253,433"
"1771",86,"1/14/2005","Elektra","$65,000,000","$24,409,722","$56,824,633"
"1773",87,"10/23/2009","Astro Boy","$65,000,000","$19,551,067","$41,636,243"
"1775",88,"1/24/2014","I, Frankenstein","$65,000,000","$19,075,290","$74,575,290"
"1777",89,"5/24/1991","Hudson Hawk","$65,000,000","$17,218,916","$17,218,916"
"1779",90,"8/22/2014","Sin City: A Dame to Kill For","$65,000,000","$13,757,804","$40,650,842"
"1781",91,"12/25/2016","Live by Night","$65,000,000","$10,378,555","$21,778,555"
"1783",92,"10/27/2000","Lucky Numbers","$65,000,000","$10,014,234","$10,014,234"
"1785",93,"9/23/2005","Oliver Twist","$65,000,000","$2,070,920","$26,670,920"
"1787",94,"9/4/2015","Tian jiang xiong shi","$65,000,000","$74,070","$122,519,874"
"1789",95,"10/26/2018","Air Strike","$65,000,000","$0","$0"
"1791",96,"7/14/2006","Little Man","$64,000,000","$58,636,047","$101,636,047"
"1793",97,"10/8/1999","Random Hearts","$64,000,000","$31,054,924","$63,200,000"
"1795",98,"12/27/2006","Perfume: The Story of a Murderer","$63,700,000","$2,223,293","$133,603,463"
"1797",99,"6/11/1993","Jurassic Park","$63,000,000","$395,708,305","$1,038,812,584"
"1799",100,"7/25/2002","Austin Powers in Goldmember","$63,000,000","$213,117,789","$296,338,663"
"1801",1,"11/6/1998","The Siege","$70,000,000","$40,934,175","$116,625,798"
"1803",2,"8/10/2007","Stardust","$70,000,000","$38,634,938","$137,022,245"
"1805",3,"6/15/2012","Rock of Ages","$70,000,000","$38,518,613","$61,031,932"
"1807",4,"10/8/1997","Seven Years in Tibet","$70,000,000","$37,945,884","$131,445,884"
"1809",5,"9/17/2004","Sky Captain and the World of Tomorrow","$70,000,000","$37,760,080","$49,730,854"
"1811",6,"9/14/2007","The Brave One","$70,000,000","$36,793,804","$69,792,704"
"1813",7,"11/1/2002","I Spy","$70,000,000","$33,561,137","$60,279,822"
"1815",8,"6/7/2002","Bad Company","$70,000,000","$30,157,016","$69,157,016"
"1817",9,"10/21/2005","Doom","$70,000,000","$28,212,337","$54,612,337"
"1819",10,"1/29/2016","The Finest Hours","$70,000,000","$27,569,558","$49,252,761"
"1821",11,"10/18/2013","Escape Plan","$70,000,000","$25,135,965","$103,735,965"
"1823",12,"9/23/2011","Killer Elite","$70,000,000","$25,124,986","$65,409,046"
"1825",13,"1/16/1998","Hard Rain","$70,000,000","$19,870,567","$19,870,567"
"1827",14,"2/15/2002","Hart's War","$70,000,000","$19,076,815","$33,076,815"
"1829",15,"2/8/2002","Rollerball","$70,000,000","$18,990,542","$25,852,508"
"1831",16,"1/10/2014","The Legend of Hercules","$70,000,000","$18,848,538","$58,953,319"
"1833",17,"4/27/2007","Next","$70,000,000","$18,211,013","$73,591,500"
"1835",18,"9/20/2002","Ballistic: Ecks vs. Sever","$70,000,000","$14,294,842","$14,294,842"
"1837",19,"8/10/2001","Osmosis Jones","$70,000,000","$13,596,911","$13,596,911"
"1839",20,"5/9/2014","Legends of Oz: Dorothy’s Return","$70,000,000","$8,462,347","$20,107,933"
"1841",21,"1/16/2015","Blackhat","$70,000,000","$8,005,980","$19,665,004"
"1843",22,"3/31/2006","Basic Instinct 2","$70,000,000","$5,946,136","$35,417,162"
"1845",23,"5/28/2010","Agora","$70,000,000","$619,423","$38,992,292"
"1847",24,"7/9/2010","Despicable Me","$69,000,000","$251,513,985","$543,464,573"
"1849",25,"7/30/2010","Dinner for Schmucks","$69,000,000","$73,026,337","$86,796,502"
"1851",26,"3/2/2018","Red Sparrow","$69,000,000","$46,874,505","$145,951,861"
"1853",27,"6/30/2010","The Twilight Saga: Eclipse","$68,000,000","$300,531,751","$706,102,828"
"1855",28,"5/31/2002","The Sum of All Fears","$68,000,000","$118,471,320","$193,500,000"
"1857",29,"6/26/2015","Ted 2","$68,000,000","$81,476,385","$217,214,143"
"1859",30,"7/13/2001","The Score","$68,000,000","$71,069,884","$113,542,091"
"1861",31,"2/25/2011","Hall Pass","$68,000,000","$45,060,734","$87,173,475"
"1863",32,"11/22/1995","Money Train","$68,000,000","$35,324,232","$77,224,232"
"1865",33,"3/21/2003","Dreamcatcher","$68,000,000","$33,685,268","$75,685,268"
"1867",34,"8/6/1999","Mystery Men","$68,000,000","$29,762,011","$33,462,011"
"1869",35,"11/5/1999","The Insider","$68,000,000","$28,965,197","$60,265,197"
"1871",36,"12/22/2017","Downsizing","$68,000,000","$24,449,754","$48,681,134"
"1873",37,"3/2/2012","Doctor Seuss' The Lorax","$67,500,000","$214,030,500","$350,976,753"
"1875",38,"10/10/2008","Body of Lies","$67,500,000","$39,394,666","$118,556,530"
"1877",39,"6/22/2012","Abraham Lincoln: Vampire Hunter","$67,500,000","$37,519,139","$137,489,730"
"1879",40,"9/20/1996","Last Man Standing","$67,000,000","$18,115,927","$18,115,927"
"1881",41,"8/17/2007","The Last Legion","$67,000,000","$5,932,060","$25,357,771"
"1883",42,"4/30/1999","Entrapment","$66,000,000","$87,707,396","$211,700,000"
"1885",43,"6/19/1998","The X Files: Fight the Future","$66,000,000","$83,898,313","$189,176,423"
"1887",44,"3/14/2014","Need for Speed","$66,000,000","$43,568,507","$194,169,619"
"1889",45,"7/24/1998","Saving Private Ryan","$65,000,000","$216,335,085","$485,035,085"
"1891",46,"12/15/2000","What Women Want","$65,000,000","$182,805,123","$374,105,123"
"1893",47,"11/9/2012","Lincoln","$65,000,000","$182,207,973","$273,346,281"
"1895",48,"3/15/2002","Ice Age","$65,000,000","$176,387,405","$386,116,343"
"1897",49,"6/30/1995","Apollo 13","$65,000,000","$173,772,767","$335,802,271"
"1899",50,"3/31/1999","The Matrix","$65,000,000","$171,479,930","$463,517,383"
"1901",51,"7/13/2018","Hotel Transylvania 3: Summer Vacation","$65,000,000","$167,321,691","$522,246,749"
"1903",52,"12/25/2012","Les Miserables","$65,000,000","$148,809,770","$442,169,052"
"1905",53,"11/1/2002","The Santa Clause 2","$65,000,000","$139,225,854","$172,825,854"
"1907",54,"6/1/1990","Total Recall","$65,000,000","$119,394,839","$261,400,000"
"1909",55,"12/18/1998","You've Got Mail","$65,000,000","$115,821,495","$250,800,000"
"1911",56,"12/25/2014","Unbroken","$65,000,000","$115,637,895","$163,527,824"
"1913",57,"6/5/2015","Spy!","$65,000,000","$110,825,712","$233,121,406"
"1915",58,"11/5/2010","Due Date","$65,000,000","$100,539,043","$211,739,043"
"1917",59,"7/25/2008","Step Brothers","$65,000,000","$100,468,793","$128,468,793"
"1919",60,"12/15/1995","Jumanji","$65,000,000","$100,458,310","$262,758,310"
"1921",61,"7/17/1998","The Mask of Zorro","$65,000,000","$93,828,745","$233,700,000"
"1923",62,"8/4/2000","Space Cowboys","$65,000,000","$90,454,043","$128,874,043"
"1925",63,"12/19/2014","Annie","$65,000,000","$85,911,262","$139,840,525"
"1927",64,"5/28/1993","Cliffhanger","$65,000,000","$84,049,211","$255,000,000"
"1929",65,"8/12/2016","Pete’s Dragon","$65,000,000","$76,233,151","$137,768,975"
"1931",66,"2/9/1996","Broken Arrow","$65,000,000","$70,645,997","$148,345,997"
"1933",67,"8/9/2006","World Trade Center","$65,000,000","$70,278,893","$163,295,654"
"1935",68,"7/7/2000","The Kid","$65,000,000","$69,688,384","$69,688,384"
"1937",69,"12/19/2003","Mona Lisa Smile","$65,000,000","$63,803,100","$141,205,169"
