"","Var.1","Release.Date","Movie","Production.Budget","Domestic.Gross","Worldwide.Gross"
"6755",78,"9/14/2012","Resident Evil: Retribution","$65,000,000","$42,345,531","$238,940,997"
"6757",79,"3/20/1998","Primary Colors","$65,000,000","$39,017,984","$39,017,984"
"6759",80,"10/15/1999","Fight Club","$65,000,000","$37,030,102","$100,851,705"
"6761",81,"8/22/2008","Death Race","$65,000,000","$36,316,032","$72,516,819"
"6763",82,"10/11/1996","The Long Kiss Goodnight","$65,000,000","$33,447,612","$33,447,612"
"6765",83,"12/8/2000","Proof of Life","$65,000,000","$32,598,931","$62,761,005"
"6767",84,"11/11/2005","Zathura","$65,000,000","$28,045,540","$58,545,540"
"6769",85,"11/26/2003","The Missing","$65,000,000","$26,900,336","$38,253,433"
"6771",86,"1/14/2005","Elektra","$65,000,000","$24,409,722","$56,824,633"
"6773",87,"10/23/2009","Astro Boy","$65,000,000","$19,551,067","$41,636,243"
"6775",88,"1/24/2014","I, Frankenstein","$65,000,000","$19,075,290","$74,575,290"
"6777",89,"5/24/1991","Hudson Hawk","$65,000,000","$17,218,916","$17,218,916"
"6779",90,"8/22/2014","Sin City: A Dame to Kill For","$65,000,000","$13,757,804","$40,650,842"
"6781",91,"12/25/2016","Live by Night","$65,000,000","$10,378,555","$21,778,555"
"6783",92,"10/27/2000","Lucky Numbers","$65,000,000","$10,014,234","$10,014,234"
"6785",93,"9/23/2005","Oliver Twist","$65,000,000","$2,070,920","$26,670,920"
"6787",94,"9/4/2015","Tian jiang xiong shi","$65,000,000","$74,070","$122,519,874"
"6789",95,"10/26/2018","Air Strike","$65,000,000","$0","$0"
"6791",96,"7/14/2006","Little Man","$64,000,000","$58,636,047","$101,636,047"
"6793",97,"10/8/1999","Random Hearts","$64,000,000","$31,054,924","$63,200,000"
"6795",98,"12/27/2006","Perfume: The Story of a Murderer","$63,700,000","$2,223,293","$133,603,463"
"6797",99,"6/11/1993","Jurassic Park","$63,000,000","$395,708,305","$1,038,812,584"
"6799",100,"7/25/2002","Austin Powers in Goldmember","$63,000,000","$213,117,789","$296,338,663"
"6801",1,"11/6/1998","The Siege","$70,000,000","$40,934,175","$116,625,798"
"6803",2,"8/10/2007","Stardust","$70,000,000","$38,634,938","$137,022,245"
"6805",3,"6/15/2012","Rock of Ages","$70,000,000","$38,518,613","$61,031,932"
"6807",4,"10/8/1997","Seven Years in Tibet","$70,000,000","$37,945,884","$131,445,884"
"6809",5,"9/17/2004","Sky Captain and the World of Tomorrow","$70,000,000","$37,760,080","$49,730,854"
"6811",6,"9/14/2007","The Brave One","$70,000,000","$36,793,804","$69,792,704"
"6813",7,"11/1/2002","I Spy","$70,000,000","$33,561,137","$60,279,822"
"6815",8,"6/7/2002","Bad Company","$70,000,000","$30,157,016","$69,157,016"
"6817",9,"10/21/2005","Doom","$70,000,000","$28,212,337","$54,612,337"
"6819",10,"1/29/2016","The Finest Hours","$70,000,000","$27,569,558","$49,252,761"
